"","HDI rank","Country","Human Development Index","Life Expectancy at Birth (years)","Expected Years of Schooling","CODE","Total","women","growthRate","region","rank","latestRate","dataYear","pop2023","landAreaKm","density"
"110",132,"India","0.633",67.2,"11.9","IND",7.71299982070923,6.90100002288818,0.00808,"Asia",172,72.225304,2015,1428627663,2973190,480.5033
"111",133,"Ghana","0.632",63.8,"12.0","GHA",3.91899991035461,4.10400009155273,0.0193,"Africa",167,76.575897,2015,34121985,227533,149.965
"112",135,"Guatemala","0.627",69.2,"10.6","GTM",2.94199991226196,3.84400010108948,0.01391,"North America",162,79.074211,2015,18092026,107160,168.8319
"113",136,"Kiribati","0.624",67.4,"11.8","KIR",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"114",137,"Honduras","0.621",70.1,"10.1","HND",7.94700002670288,10.7320003509521,0.01543,"North America",140,88.424583,2015,10593798,111890,94.6805
"115",138,"Sao Tome and Principe","0.618",67.6,"13.4","STP",15.3400001525879,21.8959999084473,0.01969,"Africa",132,91.747108,2015,231856,960,241.5167
"116",139,"Namibia","0.615",59.3,"11.9","NAM",21.2679996490479,20.0799999237061,0.01448,"Africa",134,90.820503,2015,2604172,823290,3.1631
"117",140,"Timor-Leste","0.607",67.7,"12.6","TLS",4.97499990463257,6.54899978637695,NA,NA,NA,NA,NA,NA,NA,NA
"118",140,"Vanuatu","0.607",70.4,"11.5","VUT",2.11800003051758,1.91499996185303,0.02377,"Oceania",150,85.058678,2015,334506,12190,27.441
"119",143,"Nepal","0.602",68.4,"12.9","NPL",12.2229995727539,13.8159999847412,0.01143,"Asia",180,64.663643,2015,30896590,143350,215.5325
"120",145,"Equatorial Guinea","0.596",60.6,"9.7","GNQ",9.14700031280518,10.1529998779297,0.02374,"Africa",105,95.195663,2015,1714671,28050,61.1291
"121",146,"Cambodia","0.593",69.6,"11.5","KHM",0.294999986886978,0.351999998092651,0.01056,"Asia",163,78.34594,2015,16944826,176520,95.9938
"122",146,"Zimbabwe","0.593",59.3,"12.1","ZWE",8.06700038909912,7.72900009155273,0.02113,"Africa",146,86.873482,2015,16665409,386850,43.0798
